gameID,homeTeam,awayTeam,winTeam,loseTeam,date
531,25,7,,,12/31/21
532,11,15,,,12/31/21
533,6,1,,,12/31/21
534,27,30,,,12/31/21
535,14,26,,,12/31/21
536,20,19,,,12/31/21
537,28,17,,,12/31/21
538,13,24,,,12/31/21
539,16,18,,,01/01/22
540,9,26,,,01/01/22
541,29,5,,,01/01/22
542,3,30,,,01/01/22
543,11,8,,,01/01/22
544,28,10,,,01/01/22
545,27,19,,,01/02/22
546,2,21,,,01/02/22
547,6,12,,,01/02/22
548,25,15,,,01/02/22
549,4,23,,,01/02/22
550,20,7,,,01/02/22
551,13,17,,,01/02/22
552,22,11,,,01/03/22
553,29,4,,,01/03/22
554,3,14,,,01/03/22
555,5,21,,,01/03/22
556,16,9,,,01/03/22
557,18,28,,,01/03/22
558,7,8,,,01/03/22
559,10,15,,,01/03/22
560,24,1,,,01/03/22
561,30,17,,,01/03/22
562,6,14,,,01/04/22
563,27,26,,,01/04/22
564,19,12,,,01/04/22
565,18,23,,,01/04/22
566,13,25,,,01/04/22
567,4,9,,,01/05/22
568,21,22,,,01/05/22
569,29,11,,,01/05/22
570,2,26,,,01/05/22
571,7,10,,,01/05/22
572,12,3,,,01/05/22
573,16,27,,,01/05/22
574,17,20,,,01/05/22
575,8,28,,,01/05/22
576,24,15,,,01/05/22
577,25,1,,,01/05/22
578,19,2,,,01/06/22
579,14,9,,,01/06/22
580,18,10,,,01/06/22
581,23,30,,,01/06/22
582,22,26,,,01/07/22
583,3,16,,,01/07/22
584,27,28,,,01/07/22
585,5,29,,,01/07/22
586,11,7,,,01/07/22
587,20,17,,,01/07/22
588,8,25,,,01/07/22
589,13,1,,,01/07/22
590,24,6,,,01/07/22
591,30,14,,,01/08/22
592,4,16,,,01/08/22
593,9,21,,,01/08/22
594,12,28,,,01/08/22
595,2,19,,,01/08/22
596,23,15,,,01/08/22
597,30,1,,,01/09/22
598,21,29,,,01/09/22
599,27,18,,,01/09/22
600,11,17,,,01/09/22
601,20,8,,,01/09/22
602,3,26,,,01/09/22
603,7,5,,,01/09/22
604,10,6,,,01/09/22
605,24,25,,,01/09/22
606,13,14,,,01/09/22
607,4,16,,,01/10/22
608,9,28,,,01/10/22
609,2,12,,,01/10/22
610,19,26,,,01/10/22
611,25,6,,,01/10/22
612,29,20,,,01/11/22
613,27,23,,,01/11/22
614,14,10,,,01/11/22
615,18,17,,,01/11/22
616,30,8,,,01/11/22
617,9,23,,,01/12/22
618,12,2,,,01/12/22
619,22,4,,,01/12/22
620,29,21,,,01/12/22
621,1,15,,,01/12/22
622,19,7,,,01/12/22
623,26,11,,,01/12/22
624,28,6,,,01/12/22
625,5,3,,,01/12/22
